This column has important keywords, like level name, intro, deaths, end. And alt version for platforms alt-c64 alt-speccy alt-amiga alt-atari (default is CPC with no tag, alt must be after)	Comment (give about about the context of the sentence)	Original french text	Translation ENGLISH	Initial of translator	Word check. Should be less than 168	Translation SPANISH	Initial of translator	Word check. Should be less than 168	Translation ITALIAN	Initial of translator	Word check. Should be less than 168	Translation GREEK	Initial of translator	Word check. Should be less than 168	Translation GERMAN	Initial of translator	Word check. <168	Translation POLISH	Initial of translator	Word check. <168	no
		BRAVO, je fous un grand coup de latte dans la gueule du chien de gauche. L'autre va me bouffer. Je fais quoi pour l'éviter ?	BRAVO, I kick in the head\n of the dog on the left.\n The other is going to bite me.\n What should I do to avoid it?	CK RF	116	BRAVO, le pego una leche en la boca al perro de la izquierda. El otro viene a morderme. ¿Cómo puedo evitarlo?	miguelsky robcfg trocoloco	109	BRAVO, do un bel calcio in faccia al cane sulla sinistra... ma l'altro mi sbranerà! Cosa faccio per evitarlo?	Mr. DVG	109	ΜΠΡΑΒΟ, κλωτσάω το κεφάλι του σκύλου στα αριστερά. Ο άλλος έρχεται να με δαγκώσει. Τι να κάνω για να τον αποφύγω;	msg/SK	113	BRAVO, ich trete dem linken Hund ordentlich in die Fresse. Der andere versucht, mich zu beißen. Was soll ich tun, um das zu verhindern?	Phoenix Yth Dissident	135	DOBRA, sprzedaję kopa w pysk psiura z lewej, ale drugi zaraz mnie użre!! Co robić, by tego uniknąć?	PS2 SP	99	BRAVO, jeg bryr meg ikke en flott skudd latte i munnen på hunden igjen. Den andre vil spise meg. Hva gjør jeg for å unngå det?
		YEAH. Je saute et j'évite la morsure du second chien. Je sais pas lequel des deux est le plus con. Bon fais gaffe, il a la hargne ce chien là...	YEAH. I jump and I avoid\n the bite of the second dog.\n I don't know which of the\n two is the dumbest.\nBe careful, this one is angry...	CK RF	138	SÍ. Salto y evito el mordisco del segundo perro. No sé cuál de los dos es más tonto. Bueno, cuidado, este está rabioso...	miguelsky robcfg trocoloco	121	YEAH! Salto ed evito il morso del secondo cane. Non so quale dei due sia più stupido. Beh, stai comunque attento, questo cane è davvero incazzato...	Mr. DVG	148	ΝΑΙ, πηδάω και αποφεύγω τη δαγκωνιά του δεύτερου σκύλου. Δεν ξέρω ποιος από τους δύο είναι ο πιο βλαμμένος. Προσοχή, όμως, αυτός εδώ θύμωσε...	msg/SK	142	YEAH. Ich springe und entgehe dem Biss des zweiten Hundes. Ich weiß nicht, welcher der beiden dämlicher ist. Aber Vorsicht, der hier ist jetzt echt sauer...	Phoenix Yth Dissident	156	WYPAS, podskok i unikam kąsań drugiego psa. W sumie nie wiem, który z tych dwóch jest głupszy. Bądź ostrożny, bo ten kundel wygląda na ostro wściekłego!!!	PS2 SP	154	YEAH. Jeg hopper og jeg unngå bitt av den andre hunden. Jeg vet ikke hvilken av de to er con. God gaffe gjør, har han aggressiviteten at hunden det ...
		OUIIII. En retombant, je lui défonce, la gueule au clébard. Il se barre en couinant comme un chihuahua. Reste l'autre qui revient à lui...	YES! I drop down, and kick the mutt's ass. He runs off squealing like a Chihuahua. The other one comes back from limbo...	FG RF	121	SIIII. Al caer, le parto la cara al chucho. Se va chillando como un chihuahua. Queda el otro, que vuelve en sí...	miguelsky robcfg trocoloco	113	SI! Atterro sul muso del fottuto cagnaccio e quello scappa via guaendo come un chihuahua. Resta l'altro, che intanto è tornato cosciente.	Mr. DVG	137	ΝΑΙ! Καθώς πέφτω, τον σαπίζω τον κόπρο. Τρέχει κλαψουρίζοντας σαν τσιουάουα. Ο άλλος συνέρχεται...	msg/SK	98	JA. Im Fallen ramme ich dem Köter mein Knie ins Auge. Winselnd wie ein Japan Chin verzieht er sich. Dafür kommt der andere gerade zurück...	Phoenix Yth Dissident	139	OTÓŻ TO!! Zeskakuję i kopię kundla w dupę, a ten zwiewa piszcząc jak Chihuahua. Pozostaje jednak jeszcze ten drugi, który już wraca do swojego kompana...	PS2 SP	153	Ouiiii. I fallende, knuller jeg ham i munnen mutt. Denne baren angiveri som en Chihuahua. Det er fortsatt det andre som kommer ned til det ...
		BAM, un grand coup de latte et je l'envoie valdinguer ce cabot. Ils vont pas revenir me faire chier. Je continue, c'était que le début ça, ça devient sérieux là.	BAM, one big kick in the ass sorts out that mutt. They ain't coming back to piss me off. I'll go on, it's just the start but it's getting serious now.	FG RF CT	150	PAM, de un patadón sale volando. Estos ya no me joden más. Continúa, es sólo el principio pero se está poniendo serio.	miguelsky robcfg trocoloco	118	BAM! Un grosso calcio nel culo e lo faccio galoppare, il bastardo. Non torneranno a rompermi le palle. Forza! E' solo l'inizio ma la cosa si fa seria!	Mr. DVG	150	ΜΠΑΜ, μια καλή κλωτσιά στον κώλο του κοπρίτη. Δεν τους βλέπω να ξαναρχονται να τα βάλουν μαζί μου. Ας προχωρήσω. Και αυτό ήταν μόνο η αρχή. Τα πράγματα σοβαρεύουν.	msg/SK	163	BAM, mit einem kräftigen Elf-Meter-Tritt lasse ich die Töle fliegen. Die kommen mich nicht mehr nerven. Machen wir weiter, jetzt wird es ernst.	Phoenix Yth Dissident	143	BAM, porządny kop w dupę załat--wia tego kundla. Raczej już nie wrócą by mnie wkurzać. Ruszam dalej. To tylko początek! Od teraz spra--wy zaczynają wyglądać poważnie.	PS2 SP	166	BAM, et flott skudd latte og jeg sendte ham flyr denne hund. De vil ikke gå tilbake til piss meg av. Jeg fortsetter, det var starten det, blir det alvorlig der.
		Par contre, les connards ont dû entendre les chiens. Je vais passer par le toit, ça sera plus sûr. Ils sont cons, mais ils doivent surveiller l'entrée.	I'm sure the assholes heard the dogs. I'll go through the roof, it will be safer. They're idiots, but they DO monitor the entrance.	CK RF	131	Pero seguro que esos imbéciles han oído a los perros. Voy a pasar por el tejado, será más seguro. Son idiotas, pero tendrán vigilada la entrada.	miguelsky robcfg trocoloco	144	Questi stronzi probabilmente hanno sentito i cani. Entrerò dal tetto, è più sicuro. Sono stupidi, ma sicuramente staranno controllando l'entrata.	Mr. DVG	145	Σίγουρα, οι μαλάκες φύλακες τα άκουσαν τα σκυλιά. Θα πάω από την οροφή, για περισσότερη ασφάλεια. Μπορεί να είναι ηλίθιοι, αλλά σίγουρα θα ελέγξουν την είσοδο.	msg/SK	159	Die Arschlöcher werden die Hunde gehört haben. Ich gehe übers Dach, das ist sicherer. Das sind zwar Idioten, aber den Eingang werden sie bewachen.	Phoenix Yth Dissident	146	Ha! Jest mały problem. Jestem pewny, że te dupki usłyszały psy. Bezpieczniej będzie przejść dalej po dachu. To są idioci, ale na pewno monitorują wejście.	PS2 SP	154	For cons, hadde de drittsekker hørte hundene. Jeg vil gå gjennom taket, vil det være tryggere. De er idioter, men de bør overvåke inngangen.
deaths		J'ai pas le temps de bouger que le chien de gauche me choppe la jambe. L'autre me saute à la gueule et me BOUFFE la tronche. Ils ont la dalle. Recommence...	Not enough time to move, the left dog grabbed my leg. The other jumped onto me and CHEWED my face. They're starving.\n Try again asshole...	CK RF	139	No me da tiempo a evitar que el perro de la izquierda me muerda la pierna. El otro me salta a la cara y me la ARRANCA. Están hambrientos. Hazlo de nuevo...	miguelsky robcfg trocoloco	155	Non faccio in tempo a muovermi che il cane di sinistra afferra la mia gamba. L'altro mi salta in faccia e me la SBRANA. Hanno fame! Riprova...	Mr. DVG	142	Δεν προλαβαίνω να κινηθώ. Ο αρι--στερός σκύλος μου γραπώνει το πόδι και ο άλλος πηδάει στο πρόσωπό μου και μου το κάνει μια ΧΑΨΙΑ. Ατάι--στους τους είχαν; Πάμε ξανά.	msg/SK	165	Zu wenig Zeit zum Ausweichen. Der linke Hund erwischt mein Bein, der andere springt mich an und ZERFLEISCHT mir mein Gesicht. Fang noch mal an...	Phoenix Yth Dissident	145	Za wolne moje ruchy i pierwszy pies capnął mnie za nogę. Drugi doskoczył mi do gardła i POŻARŁ mi twarz. Musiały być głodne te psinki. Próbuj ponownie...	PS2 SP	153	Jeg har ikke tid til å flytte hunden igjen krus beinet mitt. Den andre hoppet i ansiktet mitt og ansiktet mitt CHOW. De skive. Starte på nytt...
	When player use the top object which is a sausage (no effect of course)	Sérieux ? Tu penses qu'un mastard comme ça va se laisser distraire par une saucisse ? Ils me sautent dessus et me BOUFFENT la bite. Ils l'auront eu leur chipo.	Are you serious? You think a vicious pack like that is going to be distracted by a sausage? They jump on me and CHEW my dick off. They got their meat in the end.	FG RF	161	¿En serio? ¿Crees que una bestia así se va a distraer con una salchicha? Me saltan encima y me ARRANCAN la polla. Al final han tenido su ración.	miguelsky robcfg trocoloco	144	Sei serio? Pensi che mostri come quelli si distraggano con una salsiccia? Mi saltano addosso e mi MANGIANO il cazzo. Hanno avuto la loro carne alla fine.	Mr. DVG	153	Είσαι σοβαρός; Λες το λυσσασμένο σκυλολόι να ξεγελαστεί με ένα λουκάνικο; Ορμάνε πάνω μου και μου ΤΡΩΝΕ τον πούτσο. Είχαν δεν είχαν, το φαγαν το κρέας τους τελικά. 	msg/SK	164	Dein Ernst? Du glaubst, die Biester lassen sich durch lahme Wiener ablenken? Sie fallen mich an und REISSEN mir meine Salami AB. War wohl die bessere Wurst.	Phoenix Yth Dissident	156	Jesteś poważny? Myślisz, że taka wredna banda jak ta da się oszukać byle kiełbaską? Wskakują na mnie i ODGRYZAJĄ mi fiuta. W końcu dorwały kawał solidnej parówy.	PS2 SP	161	Alvor? Du tror at en mastard som det vil bli distrahert av en pølse? De hopper på meg og sluke pikken min. De vil ha sin Chipo.
	"croquette" is dog food. (small).	Tu veux que je leur lance une croquette ? T'es vraiment con ! En attendant, je me suis fais BOUFFER LES COUILLES !!! Arrête tes conneries mec.	You want me to throw them some kibbles? You're a moron! In the meantime, I got my BALLS RIPPED OFF! Cut the crap man!	FG RF	117	¿Quieres que les eche unos Whiskas? ¡Eres retrasado! ¡Mientras tanto, me han ARRANCADO LAS PELOTAS! Basta de gilipolleces, tío.	miguelsky robcfg trocoloco	127	Vuoi che gli lanci una crocchetta? Ma sei scemo? Nel frattempo, mi hanno ADDENTATO LE PALLE!!! Basta con le cazzate, amico!	Mr. DVG	123	Θέλεις να τους ρίξω σκυλοκροκέτες; Είσαι τελείως βλαμμένος; Εν τω μεταξύ, μου φαγαν τα ΑΡΧΙΔΙΑ σαν να ταν κεφτέδες!!! Κόψε τις μαλακίες, δικέ μου. 	msg/SK	147	Ich soll ihnen ein paar Leckerlis zuwerfen? Du bist so ein Vollpfosten! In der Zwischenzeit haben sie meine Eier GEFRESSEN!! Hör auf mit dem Scheiß!	Phoenix Yth Dissident	148	Ty naprawde chcesz bym rzucił im jakieś psie krokiety? Jesteś chyba ciołkem! A tymczasem psy ODGRYZAJĄ MI JAJCA! Przestań pieprzyć sprawy koleś!	PS2 SP	144	Du vil ha meg til å lansere sin tørrfor? Du er så dum! I mellomtiden, jeg spiser BALLER !!! Kutt dritt dude.
end		C'est le chien de droite qui me saute dessus maintenant. J'ai pas le temps de l'éviter et il me bouffe une oreille. L'autre revient et m'arrache le visage. AIE.	Now it's the dog on the right that's jumping on me. No time to avoid it, and it's eating my ear. The other one comes back and\n rips my face off. AWCH.	FG RF	151	El perro de la derecha me salta encima. No tengo tiempo para evitarlo y me muerde una oreja. El otro vuelve y me arranca la cara. AAAY.	miguelsky robcfg trocoloco	135	Ora è il cane di destra che mi salta addosso. Non ho tempo di evitarlo e mi strappa un orecchio. L'altro torna indietro e mi addenta la faccia. ARGH!	Mr. DVG	149	Τώρα ο σκύλος στα δεξιά μου ορμάει. Δεν προλαβαίνω να τον αποφύγω και μου ξεριζώνει το αυτί. Ο άλλος σκύλος επιστρέφει και μου ξεσκίζει το πρόσωπο. ΑΟΥΤΣ.	msg/SK	154	Nun springt der rechte Hund auf mich. Ich habe keine Zeit, ihm auszuweichen, und er frisst mein Ohr. Der andere kommt zurück und reißt mir das Gesicht ab. AUA.	Phoenix Yth Dissident	159	Teraz pies z prawej wskakuje na mnie. Nie daję rady zrobić uniku i zgłodniały kundel odgryza i zjada mi ucho. Drugi pies wraca i zrywa mi twarz. AUĆ.	PS2 SP	149	Dette er hunden som hopper på meg akkurat nå. Jeg har ikke tid til å unngå det og det spiser meg et øre. Den andre kommer tilbake og trekker ansiktet mitt. AU.
Level21		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Original fransk tekst. Uppercases OPPLYSNINGER ord i gult i spillet, så hold 'em store bokstaver. 
intro	The ninja decide not to enter the door and to climb on the temple facade. "Flocon" / snowflake refere here to the SKI test level for young people. Usually kids of 5 years pass their "snowflake" in SKI.. The joke here is "I have a kid diplome to climb on trees". I have my snowflake in accrocbranch (tree climbing course).	Je dois grimper en haut de cette façade. J’ai passé mon flocon en accrobranche option varappe. Nan je déconne, j’ai des chaussons avec des pointes...	I need to climb to the top of\n the facade. Fortunately I have a\n Cub Scout badge in tree climbing.\n Nah I'm just kidding,\n I have spiky ninja boots!	RF	152	Subo a lo alto de la fachada. Me dieron un premio en el cole por subirme a los árboles. Es broma, tengo zapatillas con clavos...	robcfg miguelsky trocoloco	128	Devo arrivare in cima a questa facciata! Da piccolo ho fatto un corso di arrampicata sugli alberi... Vabbè dai, scherzavo. E`che ho gli stivaletti chiodati.	Mr. DVG	156	Πρέπει να σκαρφαλώσω στο πάνω μέρος της πρόσοψης. Ευτυχώς, από μωρό πρώτα έμαθα να σκαρφαλώνω και μετά να περπατάω. Χα, αστειεύομαι, έχω παπούτσια με καρφιά...	msg/SK	159	Ich muss diese Fassade hochklettern. Kein Problem, ich habe mein Seepferdchen im Baumklettern. Ist natürlich Quatsch, aber Schuhe mit Spikes habe ich!	Phoenix Yth Dissident	150	Muszę wspiąć się na szczyt tej fasady. Na szczęście mam sprawność zuchową "Wspinacza na Drzewa"! Ee, w sumie to nie mam. Żartowałem. Mam po prostu kolczaste buty Ninja!	PS2 SP	168	Jeg må klatre til toppen av fasaden. Jeg brukte min snøfnugg tre klatring fjellklatring alternativet. Nah jeg tuller, tøfler jeg med pigger ...
		Avec mes chaussures, je peux monter sur n’importe quoi, même sur ta MERE. Bon soyons sérieux. Ca sent le piège à plein nez ce truc. soyons sur nos gardes. On va où ?	With my ASHIKO I can mount anything, even your MOTHER! But let's be serious here, this thing smells like a trap. So, let's stay cool. Where are we going now?	FG RF	157	Con mis zapatos, puedo montar en cualquier cosa, ¡incluso en tu MADRE! Seamos serios. Esto huele a trampa desde lejos. ¿A dónde vamos ahora?	robcfg miguelsky trocoloco	140	Con questi stivaletti posso salire su qualsiasi cosa, anche su tua MADRE. Bene, siamo seri ora. Questa è una trappola, stiamo in guardia. Da che parte andiamo?	Mr. DVG	159	Με τέτοιο πατούμενο, άνετα σκαρ--φαλώνω σε ο,τιδήποτε, ακόμα και στη ΜΑΝΑ σου. Ας σοβαρευτούμε. Μου μυρίζει παγίδα εδώ. Ας μείνουμε ψύχραιμοι. Πού να πάμε τώρα;	msg/SK	160	Mit diesen Schuhen kann ich alles besteigen, sogar Deine MUTTER. Aber im Ernst, das riecht hier nach Fallen. Lass uns vorsichtig sein. Wohin jetzt?	Phoenix Yth Dissident	147	W moich butach mogę jeździć na wszystkim, nawet na Twojej MATCE, ale bądźmy poważni. Ta rzecz pachnie jak klasyczna pułapka. Miejmy się na baczności!! Gdzie idziemy?	PS2 SP	165	Med skoene mine, kan jeg komme på noe, selv om din mor. Vel la oss være alvorlige. Det lukter en felle hel nese at ting. la oss være på vakt. Hvor skal vi ?
		BRAVO. Je m'accroche sur ce premier point. C'est assez stable. Cette façade est quand même bien bizarre, il y a des trous dans le bois un peu partout.	WELL DONE. I hang on this first point. It is quite stable. This facade is still very strange - there are holes in the wood everywhere.	CK RF	134	BRAVO. Me agarro a este primer punto. Es bastante estable. Esta fachada es muy rara, hay agujeros en la madera por todas partes.	robcfg miguelsky trocoloco	128	MOLTO BENE! Mi aggrappo a questo primo punto. E`abbastanza stabile. Questa facciata comunque è molto strana, ci sono buchi ovunque nel legno.	Mr. DVG	141	ΜΠΡΑΒΟ. Στηρίζομαι σε αυτό το πρώτο σημείο, μιας και είναι πολύ σταθερό. Είναι πολύ μυστήρια αυτή η πρόσοψη, το ξύλο έχει τρύπες παντού.	msg/SK	136	GUT GEMACHT. Ich hänge an diesem ersten Punkt. Er scheint recht stabil. Diese Fassade ist immer noch sehr seltsam, überall sind Löcher im Holz.	Phoenix Yth Dissident	143	DOBRA ROBOTA. Zawisam na pierwszym punkcie. Jest dość stabilny. Ta elewacja jest jednak bardzo dziwna... wszędzie są otwory w drewnie.	PS2 SP	134	BRA GJORT. Jeg henger på denne første punktet. Det er ganske stabil. Denne fasaden er fortsatt veldig rart, det er hull i tre overalt.
		Je saute de l'autre côté. BIEN VU. Jusque là tout va bien. J'entends que ça s'agite dedans. J'ai bien fait de passer par là. Je fais quoi maintenant ?	I'm jumping the other way. BRAVO ZULU. So far so good. I hear it's bangin' inside. Good job I went\n this way. What do I do now?	FG RF	128	Salto por el otro lado. BIEN VISTO. Hasta aquí todo bien. Escucho movimiento dentro. Me alegro de haber venido por aquí. ¿Qué hago ahora?	robcfg miguelsky trocoloco	137	Salto dall'altra parte. BEN FATTO! Fin qui tutto bene. Ho sentito dire che c'è agitazione all'interno. Ho fatto bene a passare qui. Cosa faccio ora?	Mr. DVG	148	Πηδάω στην αντίθετη κατεύθυνση. ΜΠΡΑΒΟ. Ως εδώ, καλά. Ακούω σαματά μέσα, οπότε ευτυχώς που ήρθα από εδώ. Τι κάνω τώρα;	msg/SK	118	Ich springe auf die andere Seite. SCHOEN. So weit, so gut. Ich höre ein Klicken von drinnen. War gut, diesen Weg zu wählen. Was mache ich jetzt?	Phoenix Yth Dissident	144	Przeskakuję na drugą stronę. BRAWO. Jak na razie, to idzie dobrze. Słyszę, że coś tam się dzie--je wewnątrz. Zrobiłem dobrze prze--chodząc tą stroną. Co robić? 	PS2 SP	160	Jeg hoppet til den andre siden. GODT SETT. Så langt så bra. Jeg hører det rører seg inne. Jeg gjorde det bra å gå gjennom den. Hva gjør jeg nå ?
		IMPECCABLE. Je bondis sur cette sorte de corniche. J'y suis presque. Ils vont pas me voir venir ces blaireaux. J'ai hâte de voir leur gueule.	FLAWLESS. I bounce on this platform-like bit. Almost there. They won't see me coming, the arseholes. Can't wait to see\n their pretty faces.	FG RF	140	IMPECABLE. Salto sobre esta suerte de cornisa. Ya casi estoy allí. Esos desgraciados no me verán venir. Estoy deseando ver sus caras.	robcfg miguelsky trocoloco	133	IMPECCABILE! Salto su questa specie di cornicione. Ci sono quasi. Non mi vedranno arrivare quegli idioti. Non vedo l'ora di vedere le loro facce.	Mr. DVG	145	ΑΨΟΓΟΣ. Πηδάω σε αυτήν την πλατφόρμα και σχεδόν έφτασα. Ούτε καν θα με δουν να έρχομαι, τα γίδια. Ανυπομονώ να δω την έκφραση στις μούρες τους. 	msg/SK	144	PERFEKT. Ich springe auf den Vorsprung. Fast da. Die Saftsäcke werden mich nicht kommen sehen. Ich kann ihre Visagen kaum erwarten.	Phoenix Yth Dissident	131	DOSKONALE Odbijam się od gzymsu. Prawie jestem na miejscu. Te dupki nie zauważą, że nadchodzę. Nie mogę się doczekać, kiedy ujrzę tych przyjemniaczków.	PS2 SP	151	FEILFRI. Jeg hoppet på denne typen gesims. Jeg er nesten der. De vil ikke se meg komme disse grevlinger. Jeg kan ikke vente med å se deres ansikt.
		Un dernier bond et voilà. Je suis arrivé sur le toit. Ca me fait mal au cul de le dire, mais tu as ASSURE. Je dois trouver une ouverture. Continuons de monter.	One last leap and there we go.\nI made it to the roof. It hurts my pride to say it, but you KICK ASS.\n I need to find an opening.\n Let's keep climbing.	FG RF	153	Un último salto y listo. Llego a la azotea. Me duele reconocerlo, pero eres un AS. Tengo que encontrar una abertura. Sigamos subiendo.	robcfg miguelsky trocoloco	134	Un ultimo salto et voilà. Sono sul tetto. Cazzo devo ammetterlo, sei stato davvero un ASSO! Ora devo trovare un'apertura. Dobbiamo continuare a salire!	Mr. DVG Farox	151	Ένα τελευταίο άλμα και φτάσαμε στην οροφή. Δεν θέλω να το παραδεχτώ, αλλά, φιλαράκι, ΚΟΒΕΙΣ ΚΩΛΟΥΣ. Πρέπει να βρω ένα άνοιγμα. Ας σκαρφαλώσω κι άλλο. 	msg/SK	150	Ein letzter Sprung und ich bin auf dem Dach. Es nagt an meinem Stolz das zu sagen, aber Du rockst. Ich muss einen Eingang finden. Lass uns weiter klettern.	Phoenix Yth Dissident	155	Ostatni skok i jestem. Dotarłem na dach. Trochę z bólem dupy, ale muszę przyznać, że RZĄDZISZ koleś! Teraz muszę znaleźć jakieś wejście. Wspinamy się dalej.	PS2 SP	156	En endelig sprang og her. Jeg kom på taket. Det gjør vondt i ræva for å si, men du forsikret. Jeg må finne en åpning. Fortsette å stige.
deaths		AIE. C'est bien trop haut. Je me rétame la tronche par terre. Je suis pas une chèvre des montagnes. Trouve-moi un chemin plus sûr.	WOWCH. It's too damn high.\n I smash my face into the ground.\n I'm not a mountain goat.\n Find me a safer way.	FG RF	111	AY. Está demasiado alto. Doy con la cabeza en el suelo. No soy una cabra montesa. Búscame un camino más seguro.	robcfg miguelsky trocoloco	111	OUCH! E`troppo alto. La mia testa si fracassa a terra. Non sono una capra di montagna. Trovami un sentiero più sicuro.	Mr. DVG	118	ΑΜΑΝ. Παραείναι ψηλά. Πέφτω με τη μούρη στο έδαφος. Δεν είμαι κατσίκι. Βρες μου μια ασφαλέστερη πορεία.	msg/SK	103	AUTSCH. Das ist verfickt zu hoch! Mein Gesicht zerschlägt den Boden. Oder andersrum. Ich bin doch keine Bergziege! Finde einen sichereren Weg!	Phoenix Yth Dissident	142	O KURDE! Cholernie tu wysoko! Za wysoko!! No i rozwalam sobie pysk o ziemię... Nie jestem jakąś górską kozicą! Znajdź mi bezpieczniejszą drogę!	PS2 SP	143	AU. Det er for høyt. Jeg rétamé kruset ned. Jeg er ikke en fjellgeit. Finne meg en måte tryggere.
		Je saute sur cette poutre mais j'ai le ventre TRANSPERCE par des pics. Je sentais bien qu'il y avait une couille avec cette façade. Trouve-moi un meilleur chemin.	I jump onto this girder, and my gut gets PUNCTURED by spikes.\n I had a hunch there was a trap\n within this facade.\n Find me a better route.	FG RF	142	Salto sobre esa viga pero unas estacas me PERFORAN las tripas. Sabía que esta fachada tenía trampa. Búscame un camino mejor.	robcfg miguelsky trocoloco	124	Salto su questa trave, ma il mio ventre viene TRAFITTO da numerose punte. Sentivo che c'era una trappola su questa facciata. Trovami una strada migliore.	Mr. DVG	153	Πηδάω στο δοκάρι, αλλά βγαίνουν καρφιά και μου ΤΡΥΠΑΝΕ τα άντερα. Η διαίσθησή μου μου το λεγε οτι εδώ θα υπάρχει παγίδα. Βρες μου καλύτερη πορεία. 	msg/SK	147	Ich springe auf den Träger, aber mein Bauch wird von Speeren PERFORIERT. Ich hatte doch gleich das Gefühl, dass da eine Falle war. Finde einen besseren Weg.	Phoenix Yth Dissident	156	Przeskakuję na belkę stropową, ale moje kichy PRZEBIJAJĄ jakieś ostre kolce. Coś czułem, że będzie tu jakaś ukryta pułapka w tej ele--wacji. Znajdź mi lepszą drogę.	PS2 SP	164	Jeg hoppe på strålen, men jeg har en mage boret av toppene. Jeg følte at det var en testikkel med denne fasaden. Finne meg en bedre måte.
end		Je saute sur la corniche. Mais elle cède sous mon poids et je TOMBE comme une merde. J'ai grossi ? Je vais arrêter la mayonnaise avec les sushis !	I jump onto the platform.\n But it collapses under me and\n I FALL like a sack of shit.\n Am I getting fat? Maybe less\n mayonnaise on my sushi!	FG RF	144	Salto sobre la cornisa. Pero cede bajo mi peso y CAIGO a plomo. ¿Habré cogido peso? ¡Voy a dejar el sushi con mayonesa!	robcfg miguelsky trocoloco	119	Salto sul cornicione, ma sotto il mio peso cede e CADO come una merda. Sono ingrassato? Bene! Smetterò di mangiare la maionese con il sushi!	Mr. DVG	140	Πηδάω στην πλατφόρμα, αλλά δεν αντέχει το βάρος μου και ΠΕΦΤΩ σαν τη σκατούλα. Μήπως πάχυνα; Πρέπει να κόψω τη μαγιονέζα και τα σούσι!	msg/SK	134	Ich springe auf den Sims, aber er bricht weg und ich falle wie ein Sack voll Scheiße. Werde ich etwa fett? Muss wohl die Mayonnaise beim Sushi weglassen.	Phoenix Yth Dissident	153	Przeskakuję na półkę, ale ta pę--ka pod moim ciężarem i LECĘ W DÓŁ na zbity pysk. Czyżbym przytył? Może następnym razem powinienem brać mniej majonezu do sushi?!	PS2 SP	161	Jeg hopper på hylle. Men det ga langt under vekten min og jeg TOMB som dritt. Jeg har fetere? Jeg vil slutte med majones sushi!
Level22		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Original fransk tekst. Uppercases OPPLYSNINGER ord i gult i spillet, så hold 'em store bokstaver. 
intro	The ninja is now on the roof. He need to get to the top, but the roof is very slippy. He will have 4 QTE sequences to do, to keep his balance and progress until the top.	Putain ça GLISSE ce toit pourri! Ils pourraient venir nettoyer la merde des pigeons de temps en temps. Je vais devoir surveiller mon équilibre.	Fuck, this roof is fucking\n SLIPPERY! You know, the guys\n could come and clean the\n pigeon poops occasionally.\n Gonna need to keep my balance.	FG  CLIVE	146	¡Joder, Este tejado podrido RESBALA! Ya podrían venir a limpiar la mierda de las palomas de vez en cuando. Voy a tener que vigilar mi equilibrio.	robcfg miguelsky trocoloco	145	Cazzo! Si SCIVOLA su questo tetto marcio! Potrebbero venire a pulire la merda dei piccioni ogni tanto. Dovrò stare attento a non perdere l'equilibrio.	Mr. DVG farox	150	Γαμώτο, η κωλοστέγη ΓΛΙΣΤΡΑΕΙ! Θα μπορούσαν οι μόρτες να καθαρί--ζουν που και που τις κουτσουλιές από τα περιστέρια. Πρέπει να κρατήσω την ισορροπία μου.	msg/SK	153	Fuck, ist das Dach GLITSCHIG! Die könnten hier wenigstens ab und zu Mal die Taubenscheiße wegräumen. Ich muss auf mein Gleichgewicht achten.	Phoenix Yth Dissident	140	Kurwa, ten cholerny dach jest ŚLISKI! Mogliby od czasu do czasu spłukać te gołębie gówna. Za wszelką cenę muszę utrzymać równowagę.	PS2 SP	131	Faen SLIDING dette råtne taket! De kunne komme ren dritt tid til annen duer. Jeg må se min balanse.
		\n\nATTENTION	\n\nWARNING	CK CLIVE	11	\n\nATENCIÓN	robcfg miguelsky trocoloco	12	\n\nATTENZIONE!	Mr. DVG	15	\n\n\cΠΡΟΣΟΧΗ	msg/SK	13	\n\nACHTUNG	Phoenix Yth Dissident	11	\n\n OSTRZEŻENIE	PS2 SP	16	\ N \ nADVARSEL
